Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2008-01-20,12.1,-0.9,3.858333333333334,55.625,2.0,0.0,5.2,289.7083333333333,0
2008-01-21,11.6,-0.5,5.441666666666666,47.333333333333336,55.916666666666664,0.0,7.4,282.6666666666667,1
2008-01-22,7.8,1.3,4.266666666666667,65.54166666666667,40.0,1.3,11.3,282.6666666666667,0
2008-01-23,7.0,-4.1,2.1458333333333335,57.833333333333336,10.416666666666666,0.0,8.7,265.625,0
2008-01-24,8.7,-1.2,3.641666666666667,52.0,16.291666666666668,0.0,4.6,269.375,0
2008-01-25,11.3,-1.3,4.05,59.875,45.708333333333336,0.0,6.5,244.16666666666666,2
2008-01-26,12.3,-2.9,2.7125,64.0,19.708333333333332,0.0,7.7,284.0416666666667,0
2008-01-27,12.9,-2.9,3.4916666666666667,46.083333333333336,79.58333333333333,0.0,12.7,285.9166666666667,3
2008-01-28,15.9,1.6,7.991666666666667,44.708333333333336,19.041666666666668,0.0,12.4,292.1666666666667,0
2008-01-29,11.5,3.3,6.7,57.791666666666664,36.541666666666664,0.0,3.4,258.75,0
2008-01-30,7.8,3.2,5.620833333333334,75.625,78.875,0.0,4.6,250.75,3
2008-01-31,7.1,-0.3,3.841666666666667,80.5,36.458333333333336,0.0,8.0,220.33333333333334,1
2008-02-01,5.8,3.0,4.304166666666666,82.0,89.75,0.2,3.2,203.625,3
2008-02-02,6.3,1.3,4.404166666666667,81.75,58.375,1.3,4.0,172.41666666666666,1
2008-02-03,2.5,1.2,1.6875,84.08333333333333,65.08333333333333,2.6,4.4,179.91666666666666,71
2008-02-04,2.3,-0.6,1.1500000000000001,89.83333333333333,89.54166666666667,10.8,10.5,146.91666666666666,73
2008-02-05,9.9,-4.5,1.6125,58.75,52.416666666666664,0.0,13.0,263.9166666666667,2
2008-02-06,11.7,-3.1,3.341666666666667,66.16666666666667,13.458333333333334,0.0,11.8,279.75,0
2008-02-07,9.5,-2.2,3.5625,63.708333333333336,27.583333333333332,0.0,10.8,239.91666666666666,0
2008-02-08,7.3,1.2,4.916666666666667,53.916666666666664,0.0,0.0,5.4,223.875,0
2008-02-09,6.9,1.0,4.1125,60.0,0.16666666666666666,0.0,4.0,249.54166666666666,0
2008-02-10,7.3,-0.3,3.5416666666666665,58.666666666666664,0.9166666666666666,0.0,4.0,231.875,0
2008-02-11,6.0,-3.8,2.6,67.95833333333333,5.041666666666667,0.0,5.4,246.66666666666666,0
2008-02-12,7.2,-4.7,1.5750000000000002,56.708333333333336,0.8333333333333334,0.0,5.7,237.66666666666666,0
2008-02-13,7.4,-3.3,1.8166666666666667,53.25,0.125,0.0,5.6,239.375,0
2008-02-14,9.5,-3.6,1.5958333333333334,42.166666666666664,0.0,0.0,5.6,249.29166666666666,0
2008-02-15,10.2,-4.1,2.1625,39.333333333333336,0.0,0.0,5.2,251.16666666666666,0
2008-02-16,5.6,0.6,3.1333333333333333,57.208333333333336,30.125,0.0,4.1,215.41666666666666,1
2008-02-17,4.8,-0.8,1.375,73.41666666666667,46.208333333333336,0.6000000000000001,4.5,119.79166666666667,1
