assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1935,-111.2399,36.135
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_741,,,148.30281,-36.50319
175068395,161328537,Dingana alticola,1,1,1,"Mecenero S, Ball JB, Edge DA, Hamer ML, Henning GA, Krüger MA, Pringle EL, Terblanche RF & Williams MC",2013,Mecenero et al. (2013),Extant (resident),,,,,,SABCA Literature,PreservedSpecimen,2008,30.13333333,-25.3
188497902,184928219,Senecio halleri,1,1,1,Charlotte Phillips,2020,"Royal Botanic Gardens, Kew",Extant (resident),,,,,,,,2008,7.217667,45.514
175068395,161328537,Dingana alticola,1,1,1,"Mecenero S, Ball JB, Edge DA, Hamer ML, Henning GA, Krüger MA, Pringle EL, Terblanche RF & Williams MC",2013,Mecenero et al. (2013),Extant (resident),,,,,,LepSoc: OG Garvie Collection,HumanObservation,2004,30.066667,-25.516667
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2013,-111.680615,36.888719
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_748,,,148.30281,-36.50319
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_821,,,148.27047,-36.51633
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1996,-112.72225,36
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2012,-110.639818,35.0084872
188497902,184928219,Senecio halleri,1,1,1,Charlotte Phillips,2020,"Royal Botanic Gardens, Kew",Extant (resident),,,,,,,,2005,7.368641,45.599778
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_658,,,148.29018,-36.49295
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident),baileyi,,,,,DBG Seinet 2018,PreservedSpecimen,1975,-108.2128167,36.7628972
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_852,,,148.27219,-36.50567
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_664,,,148.29018,-36.49295
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident),Yucca navajoa,,,,,DBG Seinet 2018,PreservedSpecimen,1973,-109.637,36.9669
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_622,,,148.37459,-36.38344
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_630,,,148.37639,-36.38298
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_823,,,148.27047,-36.51633
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2011,-111.896329,36.955661
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_803,,,148.27422,-36.51789
196180248,190500977,Thaumatoperla alpina,1,1,1,Julia Mynott,2020,National Environmental Science Program (NESP),Extant (resident),,,Trib to North Nelse -Spion Kopje,,,,,,147.28793,-36.82933
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_672,,,148.26405,-36.51647
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_758,,,148.27686,-36.50389
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_756,,,148.27686,-36.50389
188497902,184928219,Senecio halleri,1,1,1,Charlotte Phillips,2020,"Royal Botanic Gardens, Kew",Extant (resident),,,,,,,,2005,8.083333,46.3
22484143,22483710,Acacia alpina,1,1,1,IUCN,2016,,Extant (resident),,,,,,,,,146.4,-37.4333
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_659,,,148.29018,-36.49295
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_615,,,148.37349,-36.38358
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,TAMUIC-IGC-001870,,,148.29497,-36.49532
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_738,,,148.29292,-36.50064
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2016,-111.9485,36.697694
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2010,-111.904417,36.734811
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_686,,,148.27289,-36.525
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_750,,,148.29953,-36.50319
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,ANIC,,,148.2346011,-36.51537083
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_851,,,148.27219,-36.50567
175068395,161328537,Dingana alticola,1,1,1,"Mecenero S, Ball JB, Edge DA, Hamer ML, Henning GA, Krüger MA, Pringle EL, Terblanche RF & Williams MC",2013,Mecenero et al. (2013),Extant (resident),,,,,,LepSoc: SE Woodhall Collection,HumanObservation,1996,30.158333,-25.288333
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_839,,,148.27047,-36.51633
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_815,,,148.27047,-36.51633
175068395,161328537,Dingana alticola,1,1,1,"Mecenero S, Ball JB, Edge DA, Hamer ML, Henning GA, Krüger MA, Pringle EL, Terblanche RF & Williams MC",2013,Mecenero et al. (2013),Extant (resident),,,,,,SABCA Field Surveys,PreservedSpecimen,2009,30.13658333,-25.39566667
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_699,,,148.27364,-36.5205
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_809,,,148.27047,-36.51633
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2003,-111.9865,36.882833
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1978,-113.048,36.3163
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_810,,,148.27047,-36.51633
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_855,,,148.29042,-36.49269
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_607,,,148.37262,-36.3839
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_702,,,148.27274,-36.50199
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_608,,,148.37262,-36.3839
188497902,184928219,Senecio halleri,1,1,1,Charlotte Phillips,2020,"Royal Botanic Gardens, Kew",Extant (resident),,,,,,,,2005,7.933333,46.1
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_850,,,148.27219,-36.50567
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_652,,,148.29018,-36.49295
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,ANIC,,,148.2635558,-36.45634536
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1999,-111.906917,36.69535
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,ANIC,,,148.407859,-36.40417759
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_701,,,148.27431,-36.51744
175068395,161328537,Dingana alticola,1,1,1,"Mecenero S, Ball JB, Edge DA, Hamer ML, Henning GA, Krüger MA, Pringle EL, Terblanche RF & Williams MC",2013,Mecenero et al. (2013),Extant (resident),,,,,,LepSoc: G Henning Collection,PreservedSpecimen,1995,30.13055556,-25.39916667
188497902,184928219,Senecio halleri,1,1,1,Charlotte Phillips,2020,"Royal Botanic Gardens, Kew",Extant (resident),,,,,,,,1966,7.12287,45.419832
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_771,,,148.27694,-36.50197
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,TAMUIC-IGC-001880,,,148.25883,-36.42245
22484143,22483710,Acacia alpina,1,1,1,IUCN,2016,,Extant (resident),,,,,,,,,145.875833,-37.482778
