Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
1996-12-31,-14.7,-25.0,-19.35833333333333,79.45833333333333,87.375,5.1,7.4,106.83333333333333,3
1997-01-01,-10.4,-16.3,-14.354166666666666,79.66666666666667,77.58333333333333,7.6,7.3,108.29166666666667,3
1997-01-02,-11.7,-16.5,-13.408333333333333,87.29166666666667,99.0,10.5,9.2,102.5,73
1997-01-03,-10.1,-11.7,-10.858333333333334,89.125,93.125,7.5,9.4,110.95833333333333,3
1997-01-04,-9.5,-12.9,-11.108333333333334,85.83333333333333,96.29166666666667,7.6,7.6,106.25,71
1997-01-05,-10.1,-16.2,-12.908333333333333,85.91666666666667,91.0,1.4000000000000001,4.6,197.29166666666666,71
1997-01-06,-10.0,-17.7,-13.825000000000001,86.375,93.16666666666667,0.30000000000000004,8.3,102.04166666666667,3
1997-01-07,-8.0,-13.6,-10.820833333333333,87.5,72.08333333333333,0.2,8.1,116.33333333333333,1
1997-01-08,-10.1,-16.4,-12.766666666666666,87.16666666666667,99.16666666666667,5.2,7.6,124.58333333333333,3
1997-01-09,-7.5,-12.4,-10.041666666666666,87.66666666666667,90.75,4.0,7.0,154.875,73
1997-01-10,-7.9,-13.1,-10.1875,89.08333333333333,89.83333333333333,0.9,5.2,224.0,3
1997-01-11,-6.7,-16.2,-12.5625,70.29166666666667,45.875,0.0,3.1,86.125,0
1997-01-12,-6.9,-12.1,-9.854166666666666,40.958333333333336,0.16666666666666666,0.0,7.3,89.04166666666667,0
1997-01-13,-7.6,-10.7,-9.020833333333334,34.583333333333336,0.0,0.0,5.1,92.41666666666667,0
1997-01-14,-6.3,-9.1,-7.75,30.208333333333332,0.0,0.0,6.5,94.95833333333333,0
1997-01-15,-4.3,-7.1,-5.95,30.5,0.0,0.0,8.2,102.70833333333333,0
1997-01-16,-4.5,-7.3,-5.95,29.833333333333332,0.0,0.0,8.4,108.79166666666667,0
1997-01-17,-6.1,-10.5,-7.558333333333334,43.166666666666664,30.958333333333332,0.0,9.3,106.83333333333333,0
1997-01-18,-7.4,-11.9,-10.229166666666666,62.333333333333336,35.833333333333336,0.0,7.8,114.0,0
1997-01-19,-9.1,-10.7,-9.987499999999999,84.83333333333333,99.79166666666667,11.5,8.3,118.16666666666667,73
1997-01-20,-4.4,-10.2,-7.629166666666666,88.45833333333333,99.33333333333333,16.9,6.2,110.41666666666667,73
1997-01-21,-2.2,-9.1,-6.145833333333333,91.04166666666667,75.66666666666667,2.0,9.5,117.79166666666667,3
1997-01-22,-4.3,-8.5,-6.341666666666666,92.20833333333333,99.91666666666667,4.7,8.2,120.04166666666667,3
1997-01-23,-4.6,-6.6,-5.891666666666667,90.70833333333333,93.91666666666667,0.30000000000000004,9.2,112.75,3
1997-01-24,-0.9,-8.4,-4.958333333333333,82.58333333333333,72.0,0.0,8.6,101.08333333333333,3
1997-01-25,-0.8,-12.5,-6.895833333333333,67.16666666666667,76.375,0.0,5.1,123.875,3
1997-01-26,-4.0,-10.4,-7.329166666666667,83.5,58.833333333333336,0.0,6.5,137.04166666666666,3
1997-01-27,-4.4,-15.0,-10.533333333333333,85.20833333333333,52.875,0.0,5.2,295.9583333333333,3
1997-01-28,-7.3,-14.0,-10.729166666666666,88.125,73.58333333333333,0.30000000000000004,7.6,127.75,3
1997-01-29,-2.9,-15.9,-10.445833333333333,67.58333333333333,34.25,0.0,3.0,229.95833333333334,0
1997-01-30,-3.0,-10.0,-7.866666666666667,52.375,0.0,0.0,1.9,283.375,0
1997-01-31,-3.6,-11.1,-8.4125,49.333333333333336,0.0,0.0,2.3,253.54166666666666,0
1997-02-01,-4.1,-11.3,-9.0875,39.666666666666664,0.0,0.0,2.5,214.25,0
1997-02-02,-4.9,-13.2,-10.091666666666667,43.75,8.666666666666666,0.0,2.4,253.04166666666666,0
1997-02-03,-5.5,-13.3,-10.666666666666666,60.916666666666664,40.916666666666664,0.0,2.3,312.3333333333333,0
1997-02-04,-4.6,-13.1,-9.891666666666667,66.375,31.416666666666668,0.0,4.8,287.1666666666667,0
1997-02-05,-6.5,-11.9,-9.541666666666666,75.83333333333333,75.25,4.0,10.0,282.625,71
1997-02-06,-3.9,-15.4,-10.283333333333333,62.833333333333336,43.125,0.30000000000000004,8.8,158.875,0
1997-02-07,-2.1,-10.1,-7.304166666666667,36.166666666666664,6.125,0.0,3.1,173.08333333333334,0
1997-02-08,-1.2,-8.4,-6.279166666666666,37.833333333333336,0.0,0.0,2.1,284.625,0
1997-02-09,-0.7,-7.8,-5.370833333333334,33.541666666666664,0.0,0.0,3.6,304.9166666666667,0
1997-02-10,-0.9,-8.2,-5.425,32.208333333333336,12.625,0.0,4.8,276.0833333333333,0
1997-02-11,-4.2,-7.3,-5.9375,67.91666666666667,89.54166666666667,0.30000000000000004,7.6,278.4583333333333,3
1997-02-12,-2.4,-7.1,-5.058333333333334,78.08333333333333,66.08333333333333,1.8,9.5,287.4166666666667,2
1997-02-13,-5.8,-12.4,-8.283333333333333,89.125,92.41666666666667,8.0,14.6,278.0416666666667,71
